Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Area Count,Time,Y Offset(ft),Pass Num,Moisture(%),Eng Load(%),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Crop Flw(M)(lb/s),Yld Vol(Dry)(bu/ac),Yld Vol(Wet)(bu/ac),Speed(mph),Prod(ac/h),Crop Flw(V)(bu/h),Date
-81.49551000,35.94464330,bif field,2021_06_18_001 (13078),WHEAT,44,29.99,2.953,1.000,275.64,1181.8,On,6/18/2021,0.00,2,6.801,3555.4,5305.8,5305.8,10.79,98.26,98.26,2.013,7.318,719.01,6/18/2021
-81.49551000,35.94464330,bif field,2021_06_18_001 (13078),WHEAT,45,29.99,2.920,1.000,275.64,1182.1,On,6/18/2021,0.00,2,6.801,3555.4,4604.2,4604.2,9.255,85.26,85.26,1.991,7.236,617.00,6/18/2021
-81.49549000,35.94464170,bif field,2021_06_18_001 (13078),WHEAT,46,29.99,3.051,1.000,301.89,1182.1,On,6/18/2021,0.00,2,6.801,3555.4,4579.7,4579.7,9.619,84.81,84.81,2.080,7.562,641.29,6/18/2021
-81.49549000,35.94464170,bif field,2021_06_18_001 (13078),WHEAT,47,29.99,3.051,1.000,301.89,1180.1,On,6/18/2021,0.00,2,6.801,3994.9,4747.0,4747.0,9.971,87.91,87.91,2.080,7.562,664.72,6/18/2021
-81.49547670,35.94463500,bif field,2021_06_18_001 (13078),WHEAT,48,29.99,3.248,1.000,298.71,1180.1,On,6/18/2021,0.00,2,6.801,3994.9,4944.3,4944.3,11.06,91.56,91.56,2.215,8.049,737.02,6/18/2021
-81.49544670,35.94462170,bif field,2021_06_18_001 (13078),WHEAT,49,29.99,3.740,1.000,298.71,1177.5,On,6/18/2021,0.00,2,6.801,3994.9,4497.0,4497.0,11.58,83.28,83.28,2.550,9.269,771.91,6/18/2021
-81.49544670,35.94462170,bif field,2021_06_18_001 (13078),WHEAT,50,29.99,4.003,1.000,301.70,1177.5,On,6/18/2021,0.00,2,6.801,3148.5,4468.8,4468.8,12.31,82.75,82.75,2.729,9.919,820.89,6/18/2021
-81.49543110,35.94461390,bif field,2021_06_18_001 (13078),WHEAT,51,29.99,4.134,1.000,301.70,1176.5,On,6/18/2021,0.00,2,6.768,3148.5,4630.7,4630.7,13.18,85.75,85.75,2.819,10.24,878.53,6/18/2021
-81.49542330,35.94461000,bif field,2021_06_18_001 (13078),WHEAT,52,29.99,4.462,1.000,291.35,1176.5,On,6/18/2021,0.00,2,6.768,3148.5,3715.4,3715.4,11.41,68.80,68.80,3.042,11.06,760.82,6/18/2021
-81.49542330,35.94461000,bif field,2021_06_18_001 (13078),WHEAT,53,29.99,4.692,1.000,291.35,1173.6,On,6/18/2021,0.00,2,6.762,3793.3,3833.0,3833.0,12.38,70.98,70.98,3.199,11.63,825.30,6/18/2021
-81.49539170,35.94460000,bif field,2021_06_18_001 (13078),WHEAT,54,29.99,4.331,1.000,293.91,1173.6,On,6/18/2021,0.00,2,6.762,3793.3,3888.6,3888.6,11.59,72.01,72.01,2.953,10.73,772.86,6/18/2021
-81.49539170,35.94460000,bif field,2021_06_18_001 (13078),WHEAT,55,29.99,3.937,1.000,293.91,1172.5,On,6/18/2021,0.00,2,6.727,3793.3,4478.1,4478.1,12.14,82.93,82.93,2.684,9.757,809.12,6/18/2021
-81.49536830,35.94459160,bif field,2021_06_18_001 (13078),WHEAT,56,29.99,4.035,1.000,299.52,1172.5,On,6/18/2021,0.00,2,6.727,2735.8,4425.9,4425.9,12.30,81.96,81.96,2.751,10.00,819.67,6/18/2021
-81.49534670,35.94458170,bif field,2021_06_18_001 (13078),WHEAT,57,29.99,4.035,1.000,299.52,1171.6,On,6/18/2021,0.00,2,6.701,2735.8,4664.0,4664.0,12.96,86.37,86.37,2.751,10.00,863.77,6/18/2021
-81.49534670,35.94458170,bif field,2021_06_18_001 (13078),WHEAT,58,29.99,3.937,1.000,306.54,1168.3,On,6/18/2021,0.00,2,6.701,2735.8,5170.8,5170.8,14.01,95.76,95.76,2.684,9.757,934.27,6/18/2021
-81.49533003,35.94457170,bif field,2021_06_18_001 (13078),WHEAT,59,29.99,3.871,1.000,306.54,1168.3,On,6/18/2021,0.00,2,6.683,2742.9,5112.4,5112.4,13.62,94.67,94.67,2.640,9.594,908.33,6/18/2021
-81.49532170,35.94456670,bif field,2021_06_18_001 (13078),WHEAT,60,29.99,4.199,1.000,323.46,1165.0,On,6/18/2021,0.00,2,6.683,2742.9,4915.6,4915.6,14.21,91.03,91.03,2.863,10.41,947.38,6/18/2021
-81.49531250,35.94455665,bif field,2021_06_18_001 (13078),WHEAT,61,29.99,4.560,1.000,323.46,1165.0,On,6/18/2021,0.00,2,6.715,2742.9,4540.6,4540.6,14.25,84.09,84.09,3.109,11.30,950.31,6/18/2021
-81.49530330,35.94454660,bif field,2021_06_18_001 (13078),WHEAT,62,29.99,4.626,1.000,336.50,1164.0,On,6/18/2021,0.00,2,6.715,3122.7,4914.0,4914.0,15.65,91.00,91.00,3.154,11.46,1043.3,6/18/2021
-81.49530330,35.94454660,bif field,2021_06_18_001 (13078),WHEAT,63,29.99,4.593,1.000,336.50,1164.0,On,6/18/2021,0.00,2,6.720,3122.7,4868.1,4868.1,15.39,90.15,90.15,3.132,11.38,1026.2,6/18/2021
-81.49529170,35.94452500,bif field,2021_06_18_001 (13078),WHEAT,64,29.99,4.429,1.000,330.77,1164.0,On,6/18/2021,0.00,2,6.720,3122.7,5120.7,5120.7,15.61,94.83,94.83,3.020,10.98,1040.9,6/18/2021
-81.49528420,35.94451415,bif field,2021_06_18_001 (13078),WHEAT,65,29.99,4.429,1.000,330.77,1161.7,On,6/18/2021,0.00,2,6.744,4747.6,5075.3,5075.3,15.47,93.99,93.99,3.020,10.98,1031.6,6/18/2021
-81.49527670,35.94450330,bif field,2021_06_18_001 (13078),WHEAT,66,29.99,4.331,1.000,328.67,1161.7,On,6/18/2021,0.00,2,6.744,4747.6,5184.4,5184.4,15.46,96.01,96.01,2.953,10.73,1030.4,6/18/2021
-81.49526670,35.94449000,bif field,2021_06_18_001 (13078),WHEAT,67,29.99,4.199,1.000,328.67,1163.1,On,6/18/2021,0.00,2,6.759,4747.6,5028.0,5028.0,14.54,93.11,93.11,2.863,10.41,969.04,6/18/2021
-81.49525670,35.94447670,bif field,2021_06_18_001 (13078),WHEAT,68,29.99,4.068,1.000,343.13,1163.1,On,6/18/2021,0.00,2,6.759,3669.2,5429.1,5429.1,15.20,100.54,100.54,2.774,10.08,1013.6,6/18/2021
-81.49525170,35.94446335,bif field,2021_06_18_001 (13078),WHEAT,69,29.99,4.101,1.000,343.13,1163.4,On,6/18/2021,0.00,2,6.795,3669.2,5184.0,5184.0,14.64,96.00,96.00,2.796,10.16,975.68,6/18/2021
-81.49524670,35.94445000,bif field,2021_06_18_001 (13078),WHEAT,70,29.99,4.134,1.000,344.78,1163.4,On,6/18/2021,0.00,2,6.795,3669.2,5430.6,5430.6,15.45,100.57,100.57,2.819,10.24,1030.3,6/18/2021
-81.49524250,35.94443750,bif field,2021_06_18_001 (13078),WHEAT,71,29.99,4.003,1.000,344.78,1162.4,On,6/18/2021,0.00,2,6.800,4435.5,5292.5,5292.5,14.58,98.01,98.01,2.729,9.919,972.20,6/18/2021
-81.49523830,35.94442500,bif field,2021_06_18_001 (13078),WHEAT,72,29.99,4.003,1.000,335.54,1162.4,On,6/18/2021,0.00,2,6.800,4435.5,5001.7,5001.7,13.78,92.62,92.62,2.729,9.919,918.78,6/18/2021
-81.49522330,35.94439830,bif field,2021_06_18_001 (13078),WHEAT,73,29.99,4.134,1.000,335.54,1160.1,On,6/18/2021,0.00,2,6.801,4435.5,4826.6,4826.6,13.74,89.38,89.38,2.819,10.24,915.69,6/18/2021
-81.49522330,35.94439830,bif field,2021_06_18_001 (13078),WHEAT,74,29.99,4.167,1.000,350.80,1160.1,On,6/18/2021,0.00,2,6.801,4500.3,4365.0,4365.0,12.52,80.83,80.83,2.841,10.33,834.68,6/18/2021
-81.49521997,35.94438163,bif field,2021_06_18_001 (13078),WHEAT,75,29.99,4.199,1.000,350.80,1158.8,On,6/18/2021,0.00,2,6.801,4500.3,4432.7,4432.7,12.81,82.09,82.09,2.863,10.41,854.31,6/18/2021
-81.49521830,35.94437330,bif field,2021_06_18_001 (13078),WHEAT,76,29.99,4.298,1.000,357.03,1158.8,On,6/18/2021,0.00,2,6.801,4500.3,3872.0,3872.0,11.46,71.70,71.70,2.930,10.65,763.73,6/18/2021
-81.49521750,35.94436080,bif field,2021_06_18_001 (13078),WHEAT,77,29.99,4.462,1.000,357.03,1160.7,On,6/18/2021,0.00,2,6.801,4451.1,3820.4,3820.4,11.73,70.75,70.75,3.042,11.06,782.32,6/18/2021
-81.49521670,35.94434830,bif field,2021_06_18_001 (13078),WHEAT,78,29.99,4.692,1.000,2.621,1160.1,On,6/18/2021,0.00,2,6.801,4451.1,3202.3,3202.3,10.34,59.30,59.30,3.199,11.63,689.49,6/18/2021
-81.49521750,35.94433415,bif field,2021_06_18_001 (13078),WHEAT,79,29.99,4.724,1.000,2.621,1160.1,On,6/18/2021,0.00,2,6.801,4451.1,3132.0,3132.0,10.19,58.00,58.00,3.221,11.71,679.09,6/18/2021
-81.49521830,35.94432000,bif field,2021_06_18_001 (13078),WHEAT,80,29.99,4.692,1.000,349.43,1161.1,On,6/18/2021,0.00,2,6.801,4668.2,3421.2,3421.2,11.05,63.36,63.36,3.199,11.63,736.63,6/18/2021
-81.49521330,35.94429830,bif field,2021_06_18_001 (13078),WHEAT,81,29.99,4.757,1.000,349.43,1161.1,On,6/18/2021,0.00,2,6.778,4668.2,3460.0,3460.0,11.33,64.07,64.07,3.244,11.79,755.41,6/18/2021
-81.49521330,35.94429830,bif field,2021_06_18_001 (13078),WHEAT,82,29.99,4.790,1.000,329.35,1160.7,On,6/18/2021,0.00,2,6.778,4668.2,3809.2,3809.2,12.56,70.54,70.54,3.266,11.87,837.38,6/18/2021
-81.49520110,35.94428163,bif field,2021_06_18_001 (13078),WHEAT,83,29.99,4.692,1.000,329.35,1160.7,On,6/18/2021,0.00,2,6.763,4371.4,3990.0,3990.0,12.89,73.89,73.89,3.199,11.63,859.11,6/18/2021
-81.49519500,35.94427330,bif field,2021_06_18_001 (13078),WHEAT,84,29.99,4.593,1.000,315.35,1160.7,On,6/18/2021,0.00,2,6.739,4371.4,3714.2,3714.2,11.74,68.78,68.78,3.132,11.38,782.94,6/18/2021
-81.49519500,35.94427330,bif field,2021_06_18_001 (13078),WHEAT,85,29.99,4.593,1.000,315.35,1161.1,On,6/18/2021,0.00,2,6.739,4371.4,3729.2,3729.2,11.79,69.06,69.06,3.132,11.38,786.11,6/18/2021
-81.49517670,35.94425830,bif field,2021_06_18_001 (13078),WHEAT,86,29.99,4.659,1.000,326.56,1161.1,On,6/18/2021,0.00,2,6.739,3481.5,3174.6,3174.6,10.18,58.79,58.79,3.176,11.55,678.75,6/18/2021
-81.49516585,35.94424500,bif field,2021_06_18_001 (13078),WHEAT,87,29.99,4.692,1.000,326.56,1160.4,On,6/18/2021,0.00,2,6.723,3481.5,3029.4,3029.4,9.784,56.10,56.10,3.199,11.63,652.28,6/18/2021
-81.49515500,35.94423170,bif field,2021_06_18_001 (13078),WHEAT,88,29.99,4.888,1.000,318.65,1160.4,On,6/18/2021,0.00,2,6.723,3481.5,2481.2,2481.2,8.350,45.95,45.95,3.333,12.11,556.65,6/18/2021
-81.49513500,35.94421330,bif field,2021_06_18_001 (13078),WHEAT,89,29.99,5.020,1.000,318.65,1158.5,On,6/18/2021,0.00,2,6.687,3114.8,2172.2,2172.2,7.506,40.23,40.23,3.423,12.44,500.42,6/18/2021
-81.49513500,35.94421330,bif field,2021_06_18_001 (13078),WHEAT,90,29.99,5.184,1.000,307.13,1158.5,On,6/18/2021,0.00,2,6.687,3114.8,2003.0,2003.0,7.148,37.09,37.09,3.534,12.85,476.51,6/18/2021
-81.49512053,35.94420443,bif field,2021_06_18_001 (13078),WHEAT,91,29.99,5.315,1.000,307.13,1157.8,On,6/18/2021,0.00,2,6.704,3114.8,1855.2,1855.2,6.788,34.36,34.36,3.624,13.17,452.53,6/18/2021
-81.49511330,35.94420000,bif field,2021_06_18_001 (13078),WHEAT,92,29.99,5.413,1.000,315.22,1157.8,On,6/18/2021,0.00,2,6.704,3907.5,2012.8,2012.8,7.501,37.27,37.27,3.691,13.42,500.07,6/18/2021
-81.49511330,35.94420000,bif field,2021_06_18_001 (13078),WHEAT,93,29.99,5.151,1.000,315.22,1156.8,On,6/18/2021,0.00,2,6.742,3907.5,2646.5,2646.5,9.384,49.01,49.01,3.512,12.77,625.60,6/18/2021
-81.49508670,35.94417830,bif field,2021_06_18_001 (13078),WHEAT,94,29.99,4.856,1.000,304.76,1156.8,On,6/18/2021,0.00,2,6.742,3907.5,3139.8,3139.8,10.50,58.14,58.14,3.311,12.03,699.68,6/18/2021
-81.49507335,35.94417080,bif field,2021_06_18_001 (13078),WHEAT,95,29.99,4.593,1.000,304.76,1155.2,On,6/18/2021,0.00,2,6.759,2600.7,3487.3,3487.3,11.03,64.58,64.58,3.132,11.38,735.11,6/18/2021
-81.49506000,35.94416330,bif field,2021_06_18_001 (13078),WHEAT,96,29.99,4.790,1.000,312.81,1153.2,On,6/18/2021,0.00,2,6.759,2600.7,3233.4,3233.4,10.66,59.88,59.88,3.266,11.87,710.79,6/18/2021
-81.49504000,35.94414830,bif field,2021_06_18_001 (13078),WHEAT,97,29.99,4.954,1.000,312.81,1153.2,On,6/18/2021,0.00,2,6.761,2600.7,3075.9,3075.9,10.49,56.96,56.96,3.378,12.28,699.34,6/18/2021
-81.49504000,35.94414830,bif field,2021_06_18_001 (13078),WHEAT,98,29.99,5.282,1.000,300.14,1150.6,On,6/18/2021,0.00,2,6.761,2259.7,2904.3,2904.3,10.56,53.78,53.78,3.601,13.09,704.06,6/18/2021
-81.49502113,35.94413943,bif field,2021_06_18_001 (13078),WHEAT,99,29.99,5.413,1.000,300.14,1150.6,On,6/18/2021,0.00,2,6.784,2259.7,2986.1,2986.1,11.13,55.30,55.30,3.691,13.42,741.87,6/18/2021
-81.49501170,35.94413500,bif field,2021_06_18_001 (13078),WHEAT,100,29.99,10.93,2.000,115.00,1148.3,On,6/18/2021,0.00,2,6.799,3502.4,2735.5,2735.5,10.29,50.66,50.66,3.724,13.54,685.79,6/18/2021
-81.49498830,35.94412330,bif field,2021_06_18_001 (13078),WHEAT,101,29.99,5.381,1.000,321.01,1144.7,On,6/18/2021,0.00,2,6.799,3502.4,2939.4,2939.4,10.89,54.43,54.43,3.669,13.33,725.82,6/18/2021
-81.49496330,35.94409830,bif field,2021_06_18_001 (13078),WHEAT,102,29.99,5.348,1.000,321.01,1144.7,On,6/18/2021,0.00,2,6.801,3502.4,2907.2,2907.2,10.70,53.84,53.84,3.646,13.25,713.51,6/18/2021
-81.49496330,35.94409830,bif field,2021_06_18_001 (13078),WHEAT,103,29.99,5.348,1.000,321.14,1144.7,On,6/18/2021,0.00,2,6.801,2694.5,2987.7,2987.7,11.00,55.33,55.33,3.646,13.25,733.26,6/18/2021
-81.49494170,35.94407660,bif field,2021_06_18_001 (13078),WHEAT,104,29.99,5.413,1.000,321.14,1140.1,On,6/18/2021,0.00,2,6.750,2694.5,2875.1,2875.1,10.71,53.24,53.24,3.691,13.42,714.28,6/18/2021
-81.49494170,35.94407660,bif field,2021_06_18_001 (13078),WHEAT,105,29.99,5.446,1.000,292.26,1140.1,On,6/18/2021,0.00,2,6.750,2694.5,2966.3,2966.3,11.12,54.93,54.93,3.713,13.50,741.41,6/18/2021
-81.49491837,35.94406887,bif field,2021_06_18_001 (13078),WHEAT,106,29.99,5.282,1.000,292.26,1135.8,On,6/18/2021,0.00,2,6.792,3524.2,2842.7,2842.7,10.34,52.64,52.64,3.601,13.09,689.12,6/18/2021
-81.49490670,35.94406500,bif field,2021_06_18_001 (13078),WHEAT,107,29.99,5.217,1.000,302.97,1135.8,On,6/18/2021,0.00,2,6.792,3524.2,2784.4,2784.4,9.999,51.56,51.56,3.557,12.93,666.60,6/18/2021
-81.49490670,35.94406500,bif field,2021_06_18_001 (13078),WHEAT,108,29.99,5.217,1.000,302.97,1132.2,On,6/18/2021,0.00,2,6.800,3524.2,2921.9,2921.9,10.49,54.11,54.11,3.557,12.93,699.51,6/18/2021
-81.49487490,35.94404830,bif field,2021_06_18_001 (13078),WHEAT,109,29.99,5.315,1.000,308.79,1132.2,On,6/18/2021,0.00,2,6.800,3403.5,2855.3,2855.3,10.45,52.88,52.88,3.624,13.17,696.47,6/18/2021
